sig,args,wer,wer_per_talk
magentaMareep,"['uda.kernel_size=9', 'uda.sigma=2.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9551232452746767,"{'AlGore_2009': 0.9770408163265306, 'BarrySchwartz_2005G': 0.9444106925880923, 'BlaiseAguerayArcas_2007': 0.9602960969044414, 'BrianCox_2009U': 0.9576988155668359, 'CraigVenter_2008': 0.9768019884009942, 'DavidMerrill_2009': 0.9624125874125874, 'ElizabethGilbert_2009': 0.9463672391017173, 'WadeDavis_2003': 0.948644793152639}"
limegreenBellsprout,"['uda.kernel_size=3', 'uda.sigma=0.1', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5847794849121256,"{'AlGore_2009': 0.8622448979591837, 'BarrySchwartz_2005G': 0.36816524908869985, 'BlaiseAguerayArcas_2007': 0.8371467025572006, 'BrianCox_2009U': 0.5245346869712352, 'CraigVenter_2008': 0.7601491300745651, 'DavidMerrill_2009': 0.40996503496503495, 'ElizabethGilbert_2009': 0.285336856010568, 'WadeDavis_2003': 0.8124108416547788}"
gainsboroDiglett,"['uda.kernel_size=9', 'uda.sigma=1.0', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5857190228805129,"{'AlGore_2009': 0.8630952380952381, 'BarrySchwartz_2005G': 0.3669501822600243, 'BlaiseAguerayArcas_2007': 0.8351278600269179, 'BrianCox_2009U': 0.5177664974619289, 'CraigVenter_2008': 0.7605633802816901, 'DavidMerrill_2009': 0.41346153846153844, 'ElizabethGilbert_2009': 0.2858652575957728, 'WadeDavis_2003': 0.8171659533999049}"
indigoTyphlosion,"['uda.kernel_size=9', 'uda.sigma=2.0', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5838399469437383,"{'AlGore_2009': 0.8630952380952381, 'BarrySchwartz_2005G': 0.36482381530984204, 'BlaiseAguerayArcas_2007': 0.8337819650067295, 'BrianCox_2009U': 0.5245346869712352, 'CraigVenter_2008': 0.7568351284175642, 'DavidMerrill_2009': 0.4125874125874126, 'ElizabethGilbert_2009': 0.28401585204755614, 'WadeDavis_2003': 0.8143128863528293}"
springgreenVenonat,"['uda.kernel_size=3', 'uda.sigma=2.0', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9351166132419586,"{'AlGore_2009': 0.9727891156462585, 'BarrySchwartz_2005G': 0.9246658566221142, 'BlaiseAguerayArcas_2007': 0.946164199192463, 'BrianCox_2009U': 0.9458544839255499, 'CraigVenter_2008': 0.9565037282518641, 'DavidMerrill_2009': 0.9326923076923077, 'ElizabethGilbert_2009': 0.9043593130779393, 'WadeDavis_2003': 0.9434141702330004}"
limegreenRemoraid,"['uda.kernel_size=5', 'uda.sigma=2.0', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5873770310600199,"{'AlGore_2009': 0.8596938775510204, 'BarrySchwartz_2005G': 0.367861482381531, 'BlaiseAguerayArcas_2007': 0.8344549125168237, 'BrianCox_2009U': 0.5177664974619289, 'CraigVenter_2008': 0.7651201325600663, 'DavidMerrill_2009': 0.4195804195804196, 'ElizabethGilbert_2009': 0.2895640686922061, 'WadeDavis_2003': 0.8171659533999049}"
firebrickVaporeon,"['uda.kernel_size=3', 'uda.sigma=2.0', 'uda.encoding=""ode""', 'uda.decoding=""ode""']",0.5842820824582735,"{'AlGore_2009': 0.8596938775510204, 'BarrySchwartz_2005G': 0.3672539489671932, 'BlaiseAguerayArcas_2007': 0.8391655450874832, 'BrianCox_2009U': 0.5160744500846024, 'CraigVenter_2008': 0.7568351284175642, 'DavidMerrill_2009': 0.4125874125874126, 'ElizabethGilbert_2009': 0.2842800528401585, 'WadeDavis_2003': 0.8143128863528293}"
bluevioletGrimer,"['uda.kernel_size=9', 'uda.sigma=0.1', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.5862716922736819,"{'AlGore_2009': 0.8613945578231292, 'BarrySchwartz_2005G': 0.36573511543134873, 'BlaiseAguerayArcas_2007': 0.8405114401076716, 'BrianCox_2009U': 0.5177664974619289, 'CraigVenter_2008': 0.7609776304888153, 'DavidMerrill_2009': 0.4160839160839161, 'ElizabethGilbert_2009': 0.28797886393659183, 'WadeDavis_2003': 0.8162149310508797}"
darkorchidNidorino,"['uda.kernel_size=9', 'uda.sigma=0.1', 'uda.encoding=""forward_diffusion""', 'uda.decoding=""ode""']",0.9214656792306842,"{'AlGore_2009': 0.9668367346938775, 'BarrySchwartz_2005G': 0.9015795868772782, 'BlaiseAguerayArcas_2007': 0.9448183041722745, 'BrianCox_2009U': 0.9255499153976311, 'CraigVenter_2008': 0.9643744821872411, 'DavidMerrill_2009': 0.9353146853146853, 'ElizabethGilbert_2009': 0.8671070013210039, 'WadeDavis_2003': 0.9360437470280552}"
chartreuseFurret,"['uda.kernel_size=5', 'uda.sigma=1.0', 'uda.encoding=""ode""', 'uda.decoding=""euler""']",0.586216425334365,"{'AlGore_2009': 0.8622448979591837, 'BarrySchwartz_2005G': 0.36573511543134873, 'BlaiseAguerayArcas_2007': 0.8398384925975774, 'BrianCox_2009U': 0.5262267343485617, 'CraigVenter_2008': 0.7642916321458161, 'DavidMerrill_2009': 0.4152097902097902, 'ElizabethGilbert_2009': 0.2858652575957728, 'WadeDavis_2003': 0.8150261531145981}"
